O_G,O_A,O_B,O_C,Ir,Iy,Ib,Vr,Vy,Vb
1,1,0,0,154.1205156,48.44130015,-48.04593617,-131.17863,5442.843681,-3626.950778
1,1,0,0,159.3311886,50.06368663,-47.30814306,-187.688006,5467.375496,-3560.06772
1,1,0,0,162.2244549,51.00720092,-47.22519704,-271.052353,5482.815965,-3500.048629
1,1,0,0,164.7789842,49.8032086,-49.26552022,-356.927659,5471.751989,-3464.317582
1,1,0,0,168.6584002,47.19272041,-52.68789548,-425.306728,5443.728334,-3443.341385
1,1,0,0,175.4820258,45.56064996,-55.10720893,-457.723189,5427.434837,-3408.442279
1,1,0,0,186.27863,46.82985347,-54.60041007,-442.955667,5445.427933,-3337.076457
1,1,0,0,200.3572281,50.4418335,-51.72580825,-390.762988,5489.99924,-3236.965468
1,1,0,0,215.7351022,53.95193977,-48.92787181,-325.738644,5531.26926,-3138.002527
1,1,0,0,230.5429483,55.63114989,-47.93544741,-270.59032,5548.567035,-3060.872815
1,1,0,0,243.6758699,55.79070744,-48.43712203,-237.912279,5546.297482,-3001.186166
1,1,0,0,254.4547544,55.75957696,-49.10376798,-234.985344,5540.820692,-2942.597812
1,1,0,0,262.7469435,56.317072,-49.15591491,-262.221861,5541.598821,-2875.661371
1,1,0,0,269.2605965,56.98749089,-49.06911405,-310.254318,5542.7658,-2806.259247
1,1,0,0,275.3316467,56.82379304,-49.79026201,-362.393537,5533.032175,-2745.697735
1,1,0,0,282.1952327,55.73060216,-51.41459752,-403.843363,5511.436601,-2694.955505
1,1,0,0,290.7065165,54.78380349,-52.86610432,-424.701486,5491.075216,-2640.954294
1,1,0,0,301.3051814,55.19240623,-52.93564864,-420.464165,5486.210499,-2569.449949
1,1,0,0,313.883366,57.13626052,-51.44326239,-393.121861,5498.530917,-2478.772868
1,1,0,0,327.568704,59.55153835,-49.45266218,-353.759263,5514.810477,-2382.16836
1,1,0,0,341.1321381,61.1624133,-48.23956966,-317.253607,5519.713529,-2294.991897
1,1,0,0,353.6229526,61.63368544,-48.1390866,-294.788813,5509.492604,-2221.011243
1,1,0,0,364.6662047,61.62628091,-48.49019536,-290.237684,5492.460149,-2151.934741
1,1,0,0,374.2624989,61.83686884,-48.59614203,-302.944103,5477.103412,-2079.296373
1,1,0,0,382.7283917,62.28838753,-48.43391021,-328.479492,5463.674689,-2002.865568
1,1,0,0,390.6909039,62.49029474,-48.49397074,-358.957104,5446.232418,-1928.606053
1,1,0,0,398.9565806,62.17704721,-49.04180226,-384.567601,5421.683938,-1859.633116
1,1,0,0,408.1498286,61.72866556,-49.69732628,-398.027564,5394.67192,-1791.327164
1,1,0,0,418.5483635,61.85529593,-49.75034553,-396.377982,5373.680312,-1715.227756
1,1,0,0,430.0555912,62.87746982,-48.88028418,-381.234524,5362.303463,-1627.764512
1,1,0,0,442.2690761,64.41251877,-47.46977318,-357.750921,5355.686149,-1533.817032
1,1,0,0,454.5402365,65.71866355,-46.26056103,-333.846612,5344.812946,-1442.425556
1,1,0,0,466.2423809,66.36441341,-45.68411455,-316.90978,5324.636295,-1358.662899
1,1,0,0,477.0145169,66.51675496,-45.57343004,-310.945525,5297.377789,-1280.333065
1,1,0,0,486.8493384,66.62683059,-45.47735481,-315.612726,5268.612118,-1201.887467
1,1,0,0,495.9512098,66.8938014,-45.19672434,-328.069258,5240.749701,-1120.942108
1,1,0,0,504.6612912,67.1417806,-44.90742878,-343.955436,5211.657396,-1039.656981
1,1,0,0,513.3903758,67.13940389,-44.8408426,-358.235823,5178.573521,-960.821004
1,1,0,0,522.5397206,66.964918,-44.91873612,-366.162808,5142.495105,-883.46478
1,1,0,0,532.3294553,66.97581211,-44.78364397,-365.280652,5107.717923,-803.320485
1,1,0,0,542.7442921,67.46174216,-44.14594086,-356.023921,5077.619811,-717.038674
1,1,0,0,553.5534422,68.33916528,-43.08920711,-341.353452,5051.044999,-625.803816
1,1,0,0,564.4181735,69.22772529,-41.99384314,-325.429841,5023.333942,-534.304518
1,1,0,0,574.9746852,69.78376812,-41.20355405,-312.548819,4990.399876,-446.656969
1,1,0,0,584.9704545,69.97435152,-40.75133987,-305.570287,4951.97318,-363.160534
1,1,0,0,594.3315164,70.01730003,-40.41944064,-305.11415,4910.793536,-281.105616
1,1,0,0,603.1673117,70.11252122,-40.00802007,-309.630618,4869.308917,-198.074668
1,1,0,0,611.6742914,70.24730262,-39.52986865,-316.558407,4827.369019,-114.248684
1,1,0,0,620.0853869,70.28863669,-39.11807863,-323.027155,4783.374079,-31.258458
1,1,0,0,628.6152496,70.19823346,-38.8110314,-326.448716,4736.897638,50.43819
1,1,0,0,637.4226924,70.12671616,-38.45820179,-325.019156,4689.764057,132.634007
1,1,0,0,646.5358378,70.26644718,-37.86733211,-318.505275,4644.260478,217.584246
1,1,0,0,655.8514424,70.65381939,-37.0021408,-308.279213,4600.745424,305.615222
1,1,0,0,665.1696338,71.11764161,-36.03393694,-296.774951,4557.109403,394.584982
1,1,0,0,674.2817265,71.43771809,-35.18304072,-286.491326,4510.705584,481.813992
1,1,0,0,683.0224986,71.52491822,-34.53871374,-279.286007,4460.539193,566.2745
1,1,0,0,691.3259118,71.46543427,-34.01490117,-275.821799,4407.722176,649.045232
1,1,0,0,699.2236705,71.39256063,-33.47845255,-275.536613,4353.915214,731.753418
1,1,0,0,706.8284599,71.35285104,-32.88296448,-276.971222,4299.683267,814.930325
1,1,0,0,714.275373,71.28814628,-32.28675291,-278.405567,4244.338692,897.854419
1,1,0,0,721.6950452,71.1466102,-31.74181706,-278.278297,4187.266336,979.876436
1,1,0,0,729.1776389,70.96858016,-31.20798893,-275.51568,4128.980636,1061.476471
1,1,0,0,736.7583707,70.86157431,-30.57792604,-269.777728,4070.767481,1143.905917
1,1,0,0,744.3913168,70.88377801,-29.79362487,-261.650708,4013.31007,1227.813268
1,1,0,0,751.9721875,70.98024849,-28.91021623,-252.441695,3955.909881,1312.465121
1,1,0,0,759.3712808,71.02622522,-28.05265482,-243.669393,3897.074544,1396.334049
1,1,0,0,766.4884248,70.93983548,-27.3030136,-236.499923,3835.847719,1478.428523
1,1,0,0,773.2719028,70.7366725,-26.64590563,-231.437943,3772.481306,1558.965056
1,1,0,0,779.7327363,70.49328689,-26.00499253,-228.275487,3707.930985,1638.863831
1,1,0,0,785.924873,70.25954269,-25.33062848,-226.255172,3642.826704,1718.719167
1,1,0,0,791.9296266,70.02429025,-24.63418719,-224.369288,3577.033911,1798.36074
1,1,0,0,797.8219167,69.75000499,-23.9534231,-221.673001,3510.122891,1877.322942
1,1,0,0,803.6582932,69.43695422,-23.28830456,-217.520138,3442.106074,1955.582211
1,1,0,0,809.458203,69.13194397,-22.59226688,-211.679259,3373.569122,2033.688129
1,1,0,0,815.2052629,68.88269337,-21.81783793,-204.399283,3305.076269,2112.16874
1,1,0,0,820.8440417,68.68150783,-20.97296488,-196.336921,3236.536369,2190.896631
1,1,0,0,826.3042489,68.46901154,-20.11728163,-188.351207,3167.227943,2269.114012
1,1,0,0,831.520565,68.18424251,-19.31201373,-181.16769,3096.449796,2346.083245
1,1,0,0,836.4595352,67.8165482,-18.56808267,-175.157026,3024.10262,2421.668601
1,1,0,0,841.1197099,67.40130924,-17.8503821,-170.251884,2950.658227,2496.305372
1,1,0,0,845.5306938,66.97924497,-17.11847222,-166.065504,2876.621803,2570.462235
1,1,0,0,849.7345117,66.55800335,-16.36498979,-162.032013,2802.10821,2644.217455
1,1,0,0,853.7768412,66.120044,-15.60776504,-157.607538,2726.909735,2717.326755
1,1,0,0,857.6897827,65.65356191,-14.85889786,-152.383517,2650.90969,2789.63685
1,1,0,0,861.489269,65.17492277,-14.10232244,-146.202199,2574.312763,2861.315842
1,1,0,0,865.1670914,64.71135905,-13.3111111,-139.153905,2497.466554,2932.674723
1,1,0,0,868.6974005,64.27120677,-12.47723737,-131.579294,2420.468094,3003.773982
1,1,0,0,872.0397402,63.82924811,-11.62623347,-123.938287,2343.030558,3074.290241
1,1,0,0,875.1565847,63.34917493,-10.79472652,-116.684403,2264.726508,3143.759564
1,1,0,0,878.0222243,62.8133198,-10.00070758,-110.074404,2185.380329,3211.96986
1,1,0,0,880.6335367,62.23547283,-9.230714653,-104.131082,2105.180242,3279.072962
1,1,0,0,883.0035512,61.64119226,-8.459522077,-98.644095,2024.467126,3345.373383
1,1,0,0,885.1575889,61.0444669,-7.67347794,-93.306004,1943.418301,3411.012187
1,1,0,0,887.1208879,60.43931095,-6.878909216,-87.781232,1861.984245,3475.903662
1,1,0,0,888.9152925,59.81609393,-6.085791768,-81.826547,1780.056795,3539.903521
1,1,0,0,890.5506749,59.17637154,-5.292919325,-75.310235,1697.680314,3603.020135
1,1,0,0,892.0258889,58.53389079,-4.486898377,-68.275229,1615.028316,3665.391125
1,1,0,0,893.3260631,57.89740792,-3.65933006,-60.88808,1532.227004,3727.1069
1,1,0,0,894.4300203,57.25973888,-2.817759662,-53.423095,1449.194835,3788.050266
1,1,0,0,895.314101,56.6011112,-1.982324633,-46.138312,1365.718574,3847.972458
1,1,0,0,895.9627913,55.90737856,-1.167539941,-39.224163,1281.643561,3906.68344
1,1,0,0,896.3706656,55.18023727,-0.372081462,-32.709567,1197.023773,3964.201967
1,1,0,0,896.5452914,54.43403292,0.418020703,-26.504808,1112.048531,4020.682281
1,1,0,0,896.5002979,53.6803696,1.213991586,-20.416726,1026.884232,4076.255865
1,1,0,0,896.2524709,52.92059288,2.016794408,-14.256748,941.556352,4130.91349
1,1,0,0,895.814463,52.14875113,2.820091994,-7.858312,856.016777,4184.572491
1,1,0,0,895.1942825,51.36284719,3.621498546,-1.149995,770.252263,4237.185282
1,1,0,0,894.3913952,50.56776593,4.425507289,5.868324,684.346245,4288.801154
1,1,0,0,893.3993562,49.77030854,5.238524855,13.09341,598.39021,4339.477659
1,1,0,0,892.2057153,48.96960526,6.059284134,20.385607,512.395917,4389.192863
1,1,0,0,890.79803,48.15685844,6.87858739,27.577726,426.268073,4437.817956
1,1,0,0,889.1659609,47.32192177,7.685885645,34.563408,339.911429,4485.224469
1,1,0,0,887.306455,46.46270244,8.478680879,41.294935,253.317284,4531.37069
1,1,0,0,885.2223865,45.58530755,9.262672591,47.825822,166.587982,4576.326216
1,1,0,0,882.9225871,44.69831893,10.04603269,54.248216,79.840838,4620.175857
1,1,0,0,880.4166366,43.80503481,10.83164726,60.688331,-6.860612,4662.950919
1,1,0,0,877.7136141,42.9036906,11.61733748,67.232902,-93.526532,4704.609316
1,1,0,0,874.8184011,41.99163363,12.40003442,73.943221,-180.165414,4745.110876
1,1,0,0,871.7326291,41.07025761,13.18071364,80.81172,-266.748273,4784.453234
1,1,0,0,868.4531352,40.14302694,13.96241959,87.800581,-353.210198,4822.670204
1,1,0,0,864.9745796,39.21145914,14.74624812,94.820209,-439.521621,4859.76062
1,1,0,0,861.2897885,38.27185487,15.52807666,101.787631,-525.7043,4895.672254
1,1,0,0,857.3936428,37.31858641,16.30185273,108.620699,-611.81252,4930.320703
1,1,0,0,853.2835814,36.34853239,17.06402886,115.294751,-697.858139,4963.664321
1,1,0,0,848.9617468,35.36410835,17.81659317,121.816354,-783.796508,4995.718288
1,1,0,0,844.4328451,34.37024957,18.56405238,128.245832,-869.543521,5026.537604
1,1,0,0,839.7037072,33.37064929,19.30967008,134.642189,-955.041736,5056.150946
1,1,0,0,834.7801105,32.36525684,20.05296498,141.072613,-1040.26978,5084.551285
1,1,0,0,829.6667002,31.35266853,20.79210195,147.564967,-1125.232262,5111.705973
1,1,0,0,824.3651918,30.33249478,21.52625919,154.133232,-1209.911725,5137.604824
1,1,0,0,818.8755409,29.30650365,22.2567719,160.747334,-1294.274168,5162.254537
1,1,0,0,813.1952968,28.27602929,22.98454083,167.370676,-1378.281993,5185.665815
1,1,0,0,807.3216813,27.24032604,23.70838652,173.942098,-1461.931735,5207.815613
1,1,0,0,801.2518557,26.19644743,24.42492834,180.421967,-1545.23699,5228.664243
1,1,0,0,794.9851919,25.14225052,25.13158901,186.777074,-1628.209528,5248.174239
1,1,0,0,788.5229028,24.07804201,25.82824076,193.016538,-1710.822696,5266.346943
1,1,0,0,781.8687665,23.00661616,26.51724337,199.159345,-1793.02882,5283.205202
1,1,0,0,775.027263,21.93055968,27.20074921,205.250771,-1874.775419,5298.777011
1,1,0,0,768.0033286,20.85087952,27.87933107,211.320483,-1956.037963,5313.06292
1,1,0,0,760.8005584,19.76688715,28.55186659,217.399105,-2036.804605,5326.051181
1,1,0,0,753.4215867,18.67818898,29.21752882,223.486109,-2117.067645,5337.726383
1,1,0,0,745.867231,17.58530368,29.87640352,229.576545,-2196.800738,5348.092156
1,1,0,0,738.1375854,16.48938961,30.52921685,235.639107,-2275.977572,5357.152603
1,1,0,0,730.231802,15.3905591,31.17564967,241.648792,-2354.577324,5364.906789
1,1,0,0,722.1495655,14.28779414,31.81425336,247.570477,-2432.599818,5371.33355
1,1,0,0,713.8910884,13.17965073,32.44315425,253.392249,-2510.042689,5376.414428
1,1,0,0,705.4582522,12.06597981,33.06177469,259.10577,-2586.894607,5380.140403
1,1,0,0,696.8538945,10.94797908,33.67088497,264.729465,-2663.121483,5382.525665
1,1,0,0,688.0819867,9.827516477,34.27192689,270.278646,-2738.688392,5383.585757
1,1,0,0,679.1463172,8.705605403,34.86548908,275.78045,-2813.56482,5383.332284
1,1,0,0,670.0505178,7.582359882,35.45126232,281.243952,-2887.737787,5381.759812
1,1,0,0,660.797149,6.457431311,36.02847631,286.679096,-2961.193774,5378.86393
1,1,0,0,651.3882444,5.331061339,36.59695274,292.074585,-3033.918283,5374.641756
1,1,0,0,641.8249243,4.20384211,37.15686557,297.422004,-3105.886795,5369.100891
1,1,0,0,632.1082392,3.076288432,37.70831332,302.698319,-3177.081798,5362.242457
1,1,0,0,622.2390271,1.948104991,38.25058643,307.891507,-3247.48996,5354.063913
1,1,0,0,612.2188127,0.818700494,38.78268143,312.984617,-3317.107035,5344.554138
1,1,0,0,602.0495949,-0.312245339,39.30386809,317.979101,-3385.920032,5333.711328
1,1,0,0,591.7343653,-1.444096779,39.81437451,322.875234,-3453.909899,5321.540202
1,1,0,0,581.2764282,-2.575770945,40.31487834,327.688658,-3521.047376,5308.056248
1,1,0,0,570.6794732,-3.706263936,40.80598076,332.42671,-3587.309781,5293.268926
1,1,0,0,559.946786,-4.835270327,41.2875871,337.102876,-3652.678205,5277.184429
1,1,0,0,549.0814501,-5.962788378,41.7593017,341.715957,-3717.142506,5259.800744
1,1,0,0,538.0858935,-7.0888059,42.22074216,346.267713,-3780.687757,5241.121204
1,1,0,0,526.9623603,-8.212911895,42.6719278,350.746352,-3843.299064,5221.149593
1,1,0,0,515.7126896,-9.334715581,43.11286073,355.145901,-3904.957441,5199.894392
1,1,0,0,504.3388918,-10.45403591,43.54333639,359.451807,-3965.65114,5177.357394
1,1,0,0,492.843014,-11.57107901,43.96276629,363.660231,-4025.368776,5153.540546
1,1,0,0,481.227661,-12.68592307,44.37069314,367.763693,-4084.101879,5128.443485
1,1,0,0,469.4957222,-13.79831015,44.76699913,371.767737,-4141.83385,5102.074494
1,1,0,0,457.6506058,-14.90751361,45.15203869,375.673958,-4198.54688,5074.443649
1,1,0,0,445.6957272,-16.01283468,45.52614188,379.492927,-4254.21986,5045.564887
1,1,0,0,433.6345918,-17.11380158,45.88941547,383.226481,-4308.838743,5015.445633
1,1,0,0,421.4703449,-18.21031486,46.24159761,386.880692,-4362.390373,4984.093004
1,1,0,0,409.2060012,-19.30226692,46.58243848,390.45083,-4414.865466,4951.510806
1,1,0,0,396.8442045,-20.38945374,46.91178857,393.936114,-4466.250096,4917.708059
1,1,0,0,384.3875881,-21.47149504,47.22967865,397.32704,-4516.532053,4882.692639
1,1,0,0,371.8386403,-22.54814979,47.53600433,400.620528,-4565.697532,4846.474578
1,1,0,0,359.2000846,-23.61930547,47.83053692,403.808163,-4613.737964,4809.059255
1,1,0,0,346.4747441,-24.68496162,48.1129399,406.890473,-4660.642943,4770.454436
1,1,0,0,333.6658223,-25.74490505,48.38309386,409.864609,-4706.40302,4730.667546
1,1,0,0,320.7766411,-26.79873044,48.64107593,412.736401,-4751.003477,4689.711829
1,1,0,0,307.8107525,-27.8458802,48.88712003,415.506674,-4794.431257,4647.599418
1,1,0,0,294.7715924,-28.88595343,49.12130798,418.181753,-4836.672467,4604.343909
1,1,0,0,281.662581,-29.91869765,49.34357787,420.760351,-4877.718318,4559.954322
1,1,0,0,268.48688,-30.94400054,49.55373235,423.244745,-4917.55902,4514.441294
1,1,0,0,255.247603,-31.96165639,49.75167229,425.629732,-4956.186774,4467.813988
1,1,0,0,241.9476859,-32.97141201,49.93735098,427.914432,-4993.590657,4420.08534
1,1,0,0,228.5901396,-33.97297338,50.11076747,430.09241,-5029.762276,4371.266262
1,1,0,0,215.1779485,-34.96617477,50.27179758,432.163094,-5064.692369,4321.369151
1,1,0,0,201.7142985,-35.95088116,50.42029153,434.122172,-5098.374919,4270.40372
1,1,0,0,188.2024432,-36.92694766,50.55611463,435.971965,-5130.801467,4218.382674
1,1,0,0,174.6458499,-37.89406401,50.67930279,437.711384,-5161.964357,4165.31852
1,1,0,0,161.0479911,-38.85185871,50.78995849,439.344939,-5191.853062,4111.227175
1,1,0,0,147.4124183,-39.79994975,50.88820011,440.872267,-5220.459662,4056.122554
1,1,0,0,133.742553,-40.73809389,50.97401274,442.296778,-5247.775885,4000.019441
1,1,0,0,120.0417944,-41.66610509,51.04732977,443.61614,-5273.796726,3942.929969
1,1,0,0,106.313389,-42.58383207,51.10805541,444.831321,-5298.515618,3884.868339
1,1,0,0,92.5605903,-43.49104692,51.15617614,445.938273,-5321.927556,3825.847817
1,1,0,0,78.78657308,-44.38752534,51.19168057,446.936952,-5344.025698,3765.884001
1,1,0,0,64.99459542,-45.27304771,51.21455836,447.823486,-5364.805644,3704.990652
1,1,0,0,51.18791485,-46.14746711,51.22473229,448.598733,-5384.262125,3643.182928
1,1,0,0,37.36992293,-47.01061035,51.22215728,449.260559,-5402.391808,3580.474634
1,1,0,0,23.54403283,-47.86227028,51.20682818,449.811549,-5419.189281,3516.882138
1,1,0,0,9.713761075,-48.70215238,51.17883313,450.251098,-5434.65032,3452.421247
1,1,0,0,-4.117417064,-49.52997613,51.13825233,450.58233,-5448.769304,3387.109649
1,1,0,0,-17.94600737,-50.34548997,51.08514311,450.80442,-5461.54312,3320.963118
1,1,0,0,-31.76861889,-51.14852662,51.01948464,450.919359,-5472.968171,3253.998385
1,1,0,0,-45.58187356,-51.93892184,50.94125921,450.925035,-5483.042928,3186.230696
1,1,0,0,-59.38248352,-52.71651334,50.8504534,450.822229,-5491.764498,3117.6772
1,1,0,0,-73.16713996,-53.4810964,50.74710247,450.608235,-5499.131363,3048.354144
1,1,0,0,-86.93257374,-54.23249031,50.63122399,450.283702,-5505.141015,2978.279326
1,1,0,0,-100.6754517,-54.97052206,50.50283417,449.846518,-5509.792904,2907.469125
1,1,0,0,-114.3924431,-55.69504979,50.36192444,449.29819,-5513.085589,2835.941295
1,1,0,0,-128.0801412,-56.40589538,50.20852892,448.637772,-5515.018993,2763.712754
1,1,0,0,-141.7351502,-57.10286252,50.04270638,447.867662,-5515.591653,2690.802301
1,1,0,0,-155.3540362,-57.78572308,49.86455391,446.987486,-5514.803448,2617.227899
1,1,0,0,-168.9334225,-58.45428443,49.67413959,445.99951,-5512.653619,2543.008677
1,1,0,0,-182.46994,-59.10837698,49.47151505,444.902898,-5509.143332,2468.162301
1,1,0,0,-195.9602978,-59.747871,49.25669862,443.699069,-5504.273181,2392.707493
1,1,0,0,-209.4012136,-60.37262164,49.02973036,442.386527,-5498.04519,2316.662073
1,1,0,0,-222.7894605,-60.98248479,48.79065625,440.966207,-5490.460393,2240.045291
1,1,0,0,-236.1217929,-61.57730036,48.53954489,439.436613,-5481.521155,2162.875572
1,1,0,0,-249.3949917,-62.15693407,48.27644575,437.798933,-5471.229225,2085.172397
1,1,0,0,-262.6058007,-62.721253,48.00141364,436.052276,-5459.587848,2006.954246
1,1,0,0,-275.7509798,-63.27013454,47.71449981,434.198402,-5446.599532,1928.240776
1,1,0,0,-288.8272595,-63.80342855,47.41578976,432.23708,-5432.26783,1849.051061
1,1,0,0,-301.8314038,-64.32098366,47.10537697,430.170378,-5416.595514,1769.405396
1,1,0,0,-314.7601764,-64.82264347,46.78336674,427.998142,-5399.586632,1689.323273
1,1,0,0,-327.6103996,-65.30828365,46.44983908,425.722143,-5381.244869,1608.824932
1,1,0,0,-340.3789128,-65.7777904,46.10487024,423.341842,-5361.575351,1527.929678
1,1,0,0,-353.0626141,-66.23106709,45.74852614,420.858559,-5340.582654,1446.657685
1,1,0,0,-365.6584101,-66.66800356,45.38089301,418.271579,-5318.272487,1365.028544
1,1,0,0,-378.1632491,-67.08849596,45.00205762,415.582123,-5294.649921,1283.062781
1,1,0,0,-390.574074,-67.49243707,44.61211689,412.789685,-5269.721193,1200.780229
1,1,0,0,-402.8878573,-67.87973826,44.211156,409.895761,-5243.492155,1118.201491
1,1,0,0,-415.1015623,-68.25030688,43.79927097,406.900241,-5215.969737,1035.346477
1,1,0,0,-427.2121831,-68.60405387,43.37656107,403.804951,-5187.16033,952.236043
1,1,0,0,-439.2167157,-68.94087594,42.94314659,400.610089,-5157.07126,868.890462
1,1,0,0,-451.1122004,-69.26067902,42.49914544,397.317481,-5125.709413,785.330832
1,1,0,0,-462.8956962,-69.56337366,42.0446777,393.927303,-5093.082808,701.577503
1,1,0,0,-474.5643164,-69.84889267,41.57984802,390.441139,-5059.199222,617.65143
1,1,0,0,-486.1151978,-70.11717134,41.10476536,386.858967,-5024.067433,533.572864
1,1,0,0,-497.5455272,-70.3681531,40.61953731,383.182206,-4987.695889,449.362793
1,1,0,0,-508.8525078,-70.60177387,40.12428573,379.410834,-4950.093874,365.041677
1,1,0,0,-520.0333833,-70.81797847,39.61913037,375.546303,-4911.270375,280.630625
1,1,0,0,-531.085408,-71.01671237,39.10419705,371.588822,-4871.235259,196.150152
1,1,0,0,-542.0058727,-71.19793291,38.57960645,367.540041,-4829.998184,111.621345
1,1,0,0,-552.7920804,-71.36159331,38.04549007,363.400422,-4787.5696,27.064774
1,1,0,0,-563.4413749,-71.50765102,37.50198187,359.171769,-4743.959638,-57.498353
1,1,0,0,-573.9511216,-71.63605935,36.94922659,354.854643,-4699.179232,-142.047356
1,1,0,0,-584.3187354,-71.74678364,36.3873636,350.450826,-4653.239107,-226.561038
1,1,0,0,-594.5416618,-71.83979465,35.81653346,345.960802,-4606.150868,-311.018829
1,1,0,0,-604.6173992,-71.91507665,35.23686978,341.386221,-4557.925944,-395.399697
1,1,0,0,-614.5434761,-71.97261344,34.64851322,336.727501,-4508.576545,-479.683116
1,1,0,0,-624.3174692,-72.01239462,34.05160514,331.986226,-4458.114606,-563.848076
1,1,0,0,-633.936981,-72.03440774,33.44629547,327.162913,-4406.552821,-647.87404
1,1,0,0,-643.3996572,-72.03864951,32.83273141,322.259223,-4353.903675,-731.740042
1,1,0,0,-652.7031683,-72.0251184,32.21106483,317.275849,-4300.180412,-815.425644
1,1,0,0,-661.845228,-71.9938208,31.58144606,312.214584,-4245.396078,-898.909968
1,1,0,0,-670.8235784,-71.944761,30.94403389,307.076275,-4189.564379,-982.172631
1,1,0,0,-679.6360096,-71.87794887,30.29898782,301.862748,-4132.698834,-1065.192832
1,1,0,0,-688.2803469,-71.79339529,29.64647262,296.574883,-4074.813633,-1147.950232
1,1,0,0,-696.7544678,-71.69112188,28.98664853,291.214451,-4015.922845,-1230.424217
1,1,0,0,-705.0562887,-71.57115434,28.31967787,285.782299,-3956.041243,-1312.594646
1,1,0,0,-713.183778,-71.43352691,27.64572059,280.280121,-3895.183424,-1394.441103
1,1,0,0,-721.1349411,-71.2782737,26.96494281,274.708797,-3833.364634,-1475.943601
1,1,0,0,-728.9078326,-71.10543462,26.27751089,269.070021,-3770.599932,-1557.081845
1,1,0,0,-736.5005422,-70.91505067,25.58359611,263.364761,-3706.904971,-1637.836002
1,1,0,0,-743.9112073,-70.70717068,24.88336782,257.59481,-3642.295316,-1718.185953
1,1,0,0,-751.1380016,-70.48184528,24.17699944,251.761235,-3576.787082,-1798.112074
1,1,0,0,-758.1791482,-70.23913095,23.46466439,245.865884,-3510.396252,-1877.594477
